Sura;Aya;Bagian;Arabic;Transliteration;Transcript
4;42;1;يَوْمَىِٕذٍ يَّوَدُّ الَّذِيْنَ كَفَرُوْا وَعَصَوُا الرَّسُوْلَ لَوْ;yauma`iżiy yawaddullażīna kafarụ wa 'aṣawur-rasụla la;yau ma `i żiy ya wad dul la żī na ka fa rụ wa 'a ṣa wur ra sụ la la
4;42;2;تُسَوّٰى بِهِمُ الْاَرْضُۗ وَلَا يَكْتُمُوْنَ اللّٰهَ حَدِيْثًا ࣖ; tusawwā bihimul-arḍ, wa lā yaktumụnallāha ḥadīṡ;u tu saw wā bi hi mul arḍ , wa lā yak tu mụ nall llā ha ḥa d
4;43;1;يٰٓاَيُّهَا الَّذِيْنَ اٰمَنُوْا لَا تَقْرَبُوا الصَّلٰوةَ وَاَنْتُمْ سُكَارٰى حَتّٰى تَعْلَمُوْا مَا تَقُوْلُوْنَ;yā ayyuhallażīna āmanụ lā taqrabuṣ-ṣalāta wa antum sukārā ḥattā ta'lamụ mā taqụlụna ;yā ay yu hal la żī na ā ma nụ lā taq ra buṣ ṣa lā ta wa an tum su kā rā ḥat tā ta' la mụ mā ta qụ lụ na
4;43;2;وَلَا جُنُبًا اِلَّا عَابِرِيْ سَبِيْلٍ حَتّٰى تَغْتَسِلُوْا ۗوَاِنْ كُنْتُمْ مَّرْضٰٓى اَوْ عَلٰى سَفَرٍ اَوْ;lā junuban illā 'ābirī sabīlin ḥattā tagtasilụ, wa ing kuntum marḍā au 'alā safarin a;a lā ju nu ban il lā 'ā bi rī sa bī lin ḥat tā tag ta si lụ , wa ing kun tum mar ḍā au 'a lā sa fa rin a
4;43;3;جَاۤءَ اَحَدٌ مِّنْكُمْ مِّنَ الْغَاۤىِٕطِ اَوْ لٰمَسْتُمُ النِّسَاۤءَ فَلَمْ تَجِدُوْا مَاۤءً فَتَيَمَّمُوْا;jā`a aḥadum mingkum minal-gā`iṭi au lāmastumun-nisā`a fa lam tajidụ mā`an fa tayammam;u jā `a a ḥa dum ming kum mi nal gā `i ṭi au lā mas tu mun ni sā `a fa lam ta ji dụ mā `an fa ta yam ma m
4;43;4;صَعِيْدًا طَيِّبًا فَامْسَحُوْا بِوُجُوْهِكُمْ وَاَيْدِيْكُمْ ۗ اِنَّ اللّٰهَ كَانَ عَفُوًّا غَفُوْرًا;ṣa'īdan ṭayyiban famsaḥụ biwujụhikum wa aidīkum, innallāha kāna 'afuwwan gafụr;ụ ṣa 'ī dan ṭay yi ban fam sa ḥụ bi wu jụ hi kum wa ai dī kum , in nall llā ha kā na 'a fuw wan ga f
4;44;1;اَلَمْ تَرَ اِلَى الَّذِيْنَ اُوْتُوْا نَصِيْبًا مِّنَ الْكِتٰبِ يَشْتَرُوْنَ;lam tara ilallażīna ụtụ naṣībam minal-kitābi yasytarụna;a lam ta ra i lal la żī na ụ tụ na ṣī bam mi nal ki tā bi yasy ta rụ na
4;44;2;الضَّلٰلَةَ وَيُرِيْدُوْنَ اَنْ تَضِلُّوا السَّبِيْلَۗ;aḍ-ḍalālata wa yurīdụna an taḍillus-sabīl;naḍ ḍa lā la ta wa yu rī dụ na an ta ḍil lus sa bīl
4;45;1;وَاللّٰهُ اَعْلَمُ بِاَعْدَاۤىِٕكُمْ ۗوَكَفٰى بِاللّٰهِ وَلِيًّا ۙوَّكَفٰى بِاللّٰهِ نَصِيْرًا;wallāhu a'lamu bi`a'dā`ikum, wa kafā billāhi waliyyaw wa kafā billāhi naṣīrā;l llā hu a' la mu bi `a' dā `i kum , wa ka fā bil lā hi wa liy yaw wa ka fā bil lā hi na ṣī rā
4;46;1;مِنَ الَّذِيْنَ هَادُوْا يُحَرِّفُوْنَ الْكَلِمَ عَنْ مَّوَاضِعِهٖ وَيَقُوْلُوْنَ سَمِعْنَا وَعَصَيْنَا;minallażīna hādụ yuḥarrifụnal-kalima 'am mawāḍi'ihī wa yaqụlụna sami'nā wa 'aṣ;mi nal la żī na hā dụ yu ḥar ri fụ nal ka li ma 'am ma wā ḍi 'i hī wa ya qụ lụ na sa mi' nā wa 'a ṣ
4;46;2;وَاسْمَعْ غَيْرَ مُسْمَعٍ وَّرَاعِنَا لَيًّاۢ بِاَلْسِنَتِهِمْ وَطَعْنًا فِى الدِّيْنِۗ وَلَوْ;sma' gaira musma'iw wa rā'inā layyam bi`alsinatihim wa ṭa'nan fid-dīn, wala;as ma' gai ra mus ma 'iw wa rā 'i nā lay yam bi `al si na ti him wa ṭa' nan fid dīn , wa la
4;46;3;اَنَّهُمْ قَالُوْا سَمِعْنَا وَاَطَعْنَا وَاسْمَعْ وَانْظُرْنَا لَكَانَ خَيْرًا لَّهُمْ وَاَقْوَمَۙ;annahum qālụ sami'nā wa aṭa'nā wasma' wanẓurnā lakāna khairal lahum wa aqwama;u an na hum qā lụ sa mi' nā wa a ṭa' nā was ma' wan ẓur nā la kā na khai ral la hum wa aq wa ma
4;46;4;وَلٰكِنْ لَّعَنَهُمُ اللّٰهُ بِكُفْرِهِمْ فَلَا يُؤْمِنُوْنَ اِلَّا قَلِيْلًا;wa lākil la'anahumullāhu bikufrihim fa lā yu`minụna illā qalīl;l llā hu bi kuf ri him fa lā yu` mi nụ na il lā qa lī lā
4;47;1;يٰٓاَيُّهَا الَّذِيْنَ اُوْتُوا الْكِتٰبَ اٰمِنُوْا بِمَا نَزَّلْنَا مُصَدِّقًا لِّمَا;yā ayyuhallażīna ụtul-kitāba āminụ bimā nazzalnā muṣaddiqal lim;yā ay yu hal la żī na ụ tul ki tā ba ā mi nụ bi mā naz zal nā mu ṣad di qal li m
4;47;2;مَعَكُمْ مِّنْ قَبْلِ اَنْ نَّطْمِسَ وُجُوْهًا فَنَرُدَّهَا عَلٰٓى اَدْبَارِهَآ اَوْ;ma'akum ming qabli an naṭmisa wujụhan fa naruddahā 'alā adbārihā ;ā ma 'a kum ming qab li an naṭ mi sa wu jụ han fa na rud da hā 'a lā ad bā ri hā
4;47;3;نَلْعَنَهُمْ كَمَا لَعَنَّآ اَصْحٰبَ السَّبْتِ ۗ وَكَانَ اَمْرُ اللّٰهِ مَفْعُوْلًا;nal'anahum kamā la'annā aṣ-ḥābas-sabt, wa kāna amrullāhi maf'ụl;u nal 'a na hum ka mā la 'an nā aṣ ḥā bas sabt , wa kā na am rull llā hi maf '
4;48;1;اِنَّ اللّٰهَ لَا يَغْفِرُ اَنْ يُّشْرَكَ بِهٖ وَيَغْفِرُ مَا دُوْنَ ذٰلِكَ لِمَنْ;nallāha lā yagfiru ay yusyraka bihī wa yagfiru mā dụna żālika lima;l llā ha lā yag fi ru ay yusy ra ka bi hī wa yag fi ru mā dụ na żā li ka li may y
4;48;2;يَّشَاۤءُ ۚ وَمَنْ يُّشْرِكْ بِاللّٰهِ فَقَدِ افْتَرٰٓى اِثْمًا عَظِيْمًا;y yasyā`, wa may yusyrik billāhi fa qadiftarā iṡman 'aẓīm;ay ya syā` , wa may yusy rik bil lā hi fa qa dif ta rā iṡ man 'a ẓī m
4;49;1;اَلَمْ تَرَ اِلَى الَّذِيْنَ يُزَكُّوْنَ اَنْفُسَهُمْ ۗ بَلِ اللّٰهُ;lam tara ilallażīna yuzakkụna anfusahum, balillāhu;a lam ta ra i lal la żī na yu zak kụ na an fu sa hum , ba lil lā hu
4;49;2;يُزَكِّيْ مَنْ يَّشَاۤءُ وَلَا يُظْلَمُوْنَ فَتِيْلًا;u yuzakkī may yasyā`u wa lā yuẓlamụna fatīl;hu yu zak kī may ya syā `u wa lā yuẓ la mụ na fa tī l
4;50;1;اُنْظُرْ كَيْفَ يَفْتَرُوْنَ عَلَى اللّٰهِ الْكَذِبَۗ وَكَفٰى بِهٖٓ اِثْمًا مُّبِيْنًا ࣖ;unẓur kaifa yaftarụna 'alallāhil-każib, wa kafā bihī iṡmam mubīnā;l llā hil ka żib , wa ka fā bi hī iṡ mam mu bī nā
4;51;1;اَلَمْ تَرَ اِلَى الَّذِيْنَ اُوْتُوْا نَصِيْبًا مِّنَ الْكِتٰبِ يُؤْمِنُوْنَ;lam tara ilallażīna ụtụ naṣībam minal-kitābi yu`minụna;a lam ta ra i lal la żī na ụ tụ na ṣī bam mi nal ki tā bi yu` mi nụ na
4;51;2;بِالْجِبْتِ وَالطَّاغُوْتِ وَيَقُوْلُوْنَ لِلَّذِيْنَ كَفَرُوْا;bil-jibti waṭ-ṭāgụti wa yaqụlụna lillażīna kaf;a bil jib ti waṭ ṭā gụ ti wa ya qụ lụ na lil la żī na ka f
4;51;3;هٰٓؤُلَاۤءِ اَهْدٰى مِنَ الَّذِيْنَ اٰمَنُوْا سَبِيْلًا;arụ hā`ulā`i ahdā minallażīna āmanụ sabīl;fa rụ hā `u lā `i ah dā mi nal la żī na ā ma nụ sa bī l
4;52;1;اُولٰۤىِٕكَ الَّذِيْنَ لَعَنَهُمُ اللّٰهُ ۗوَمَنْ يَّلْعَنِ اللّٰهُ فَلَنْ تَجِدَ لَهٗ نَصِيْرًا;ulā`ikallażīna la'anahumullāh, wa may yal'anillāhu fa lan tajida lahụ naṣīrā;l llāh , wa may yal 'a nil lā hu fa lan ta ji da la hụ na ṣī rā
4;53;1;اَمْ لَهُمْ نَصِيْبٌ مِّنَ الْمُلْكِ فَاِذًا لَّا يُؤْتُوْنَ النَّاسَ نَقِيْرًاۙ;am lahum naṣībum minal-mulki fa iżal lā yu`tụnan-nāsa naqīrā;am la hum na ṣī bum mi nal mul ki fa i żal lā yu` tụ nan nā sa na qī rā
4;54;1;اَمْ يَحْسُدُوْنَ النَّاسَ عَلٰى مَآ اٰتٰىهُمُ اللّٰهُ مِنْ فَضْلِهٖۚ فَقَدْ اٰتَيْنَآ;am yaḥsudụnan-nāsa 'alā mā ātāhumullāhu min faḍlih, fa qad ātain;am yaḥ su dụ nan nā sa 'a lā mā ā tā hu mull llā hu min faḍ lih , fa qad ā ta
4;54;2;اٰلَ اِبْرٰهِيْمَ الْكِتٰبَ وَالْحِكْمَةَ وَاٰتَيْنٰهُمْ مُّلْكًا عَظِيْمًا;āla ibrāhīmal-kitāba wal-ḥikmata wa ātaināhum mulkan 'aẓī;ā ā la ib rā hī mal ki tā ba wal ḥik ma ta wa ā tai nā hum mul kan 'a ẓī
4;55;1;فَمِنْهُمْ مَّنْ اٰمَنَ بِهٖ وَمِنْهُمْ مَّنْ صَدَّ عَنْهُ ۗ وَكَفٰى بِجَهَنَّمَ سَعِيْرًا;fa min-hum man āmana bihī wa min-hum man ṣadda 'an-h, wa kafā bijahannama sa'īrā;fa min hum man ā ma na bi hī wa min hum man ṣad da 'an h , wa ka fā bi ja han na ma sa 'ī rā
4;56;1;اِنَّ الَّذِيْنَ كَفَرُوْا بِاٰيٰتِنَا سَوْفَ نُصْلِيْهِمْ نَارًاۗ;innallażīna kafarụ bi`āyātinā saufa nuṣlīhim nārā;in nal la żī na ka fa rụ bi `ā yā ti nā sau fa nuṣ lī him nā rā
4;56;2;كُلَّمَا نَضِجَتْ جُلُوْدُهُمْ بَدَّلْنٰهُمْ جُلُوْدًا غَيْرَهَا;kullamā naḍijat julụduhum baddalnāhum julụdan gairahā;, kul la mā na ḍi jat ju lụ du hum bad dal nā hum ju lụ dan gai ra hā
4;56;3;لِيَذُوْقُوا الْعَذَابَۗ اِنَّ اللّٰهَ كَانَ عَزِيْزًا حَكِيْمًا; liyażụqul-'ażāb, innallāha kāna 'azīzan ḥakīm;ā li ya żụ qul 'a żāb , in nall llā ha kā na 'a zī zan ḥa k
4;57;1;وَالَّذِيْنَ اٰمَنُوْا وَعَمِلُوا الصّٰلِحٰتِ سَنُدْخِلُهُمْ جَنّٰتٍ;wallażīna āmanụ wa 'amiluṣ-ṣāliḥāti sanudkhiluhum jannāti;wal la żī na ā ma nụ wa 'a mi luṣ ṣā li ḥā ti sa nud khi lu hum jan nā ti
4;57;2;تَجْرِيْ مِنْ تَحْتِهَا الْاَنْهٰرُ خٰلِدِيْنَ فِيْهَآ اَبَدًاۗ لَهُمْ;tajrī min taḥtihal-an-hāru khālidīna fīhā abadā, lah;n taj rī min taḥ ti hal an hā ru khā li dī na fī hā a ba dā , la h
4;57;3;فِيْهَآ اَزْوَاجٌ مُّطَهَّرَةٌ ۙ وَّنُدْخِلُهُمْ ظِلًّا ظَلِيْلًا;m fīhā azwājum muṭahharatuw wa nudkhiluhum ẓillan ẓalīl;um fī hā az wā jum mu ṭah ha ra tuw wa nud khi lu hum ẓil lan ẓa lī l
4;58;1;۞ اِنَّ اللّٰهَ يَأْمُرُكُمْ اَنْ تُؤَدُّوا الْاَمٰنٰتِ اِلٰٓى اَهْلِهَاۙ;innallāha ya`murukum an tu`addul-amānāti ilā ahlihā ;l llā ha ya` mu ru kum an tu `ad dul a mā nā ti i lā ah li hā wa i ż
4;58;2;وَاِذَا حَكَمْتُمْ بَيْنَ النَّاسِ اَنْ تَحْكُمُوْا بِالْعَدْلِ ۗ اِنَّ اللّٰهَ; iżā ḥakamtum bainan-nāsi an taḥkumụ bil-'adl, innallāha;a i żā ḥa kam tum bai nan nā si an taḥ ku mụ bil 'adl , in nall llā
4;58;3;نِعِمَّا يَعِظُكُمْ بِهٖ ۗ اِنَّ اللّٰهَ كَانَ سَمِيْعًاۢ بَصِيْرًا; ni'immā ya'iẓukum bih, innallāha kāna samī'am baṣīr;a ni 'im mā ya 'i ẓu kum bih , in nall llā ha kā na sa mī 'am ba ṣ
4;59;1;يٰٓاَيُّهَا الَّذِيْنَ اٰمَنُوْٓا اَطِيْعُوا اللّٰهَ وَاَطِيْعُوا الرَّسُوْلَ;yā ayyuhallażīna āmanū aṭī'ullāha wa aṭī'ur-rasụla;yā ay yu hal la żī na ā ma nū a ṭī 'ull llā ha wa a ṭī 'ur ra sụ
4;59;2;وَاُولِى الْاَمْرِ مِنْكُمْۚ فَاِنْ تَنَازَعْتُمْ فِيْ شَيْءٍ فَرُدُّوْهُ;ulil-amri mingkum, fa in tanāza'tum fī syai`in fa rudd;a u lil am ri ming kum , fa in ta nā za' tum fī syai `in fa rud d
4;59;3;اِلَى اللّٰهِ وَالرَّسُوْلِ اِنْ كُنْتُمْ تُؤْمِنُوْنَ بِاللّٰهِ وَالْيَوْمِ;ilallāhi war-rasụli ing kuntum tu`minụna billāhi wal-ya;l llā hi war ra sụ li ing kun tum tu` mi nụ na bil lā hi wal yau mi
4;59;4;الْاٰخِرِۗ ذٰلِكَ خَيْرٌ وَّاَحْسَنُ تَأْوِيْلًا ࣖ;umil-ākhir, żālika khairuw wa aḥsanu ta`wīl;au mil ā khir , żā li ka khai ruw wa aḥ sa nu ta` wī l
4;60;1;اَلَمْ تَرَ اِلَى الَّذِيْنَ يَزْعُمُوْنَ اَنَّهُمْ اٰمَنُوْا بِمَآ;a lam tara ilallażīna yaz'umụna annahum āmanụ bimā;a lam ta ra i lal la żī na yaz 'u mụ na an na hum ā ma nụ bi mā
4;60;2;اُنْزِلَ اِلَيْكَ وَمَآ اُنْزِلَ مِنْ قَبْلِكَ يُرِيْدُوْنَ اَنْ يَّتَحَاكَمُوْٓا;unzila ilaika wa mā unzila ming qablika yurīdụna ay yataḥākam;ā un zi la i lai ka wa mā un zi la ming qab li ka yu rī dụ na ay ya ta ḥā ka m
4;60;3;اِلَى الطَّاغُوْتِ وَقَدْ اُمِرُوْٓا اَنْ يَّكْفُرُوْا بِهٖ ۗوَيُرِيْدُ;ṭ-ṭāgụti wa qad umirū ay yakfurụ bih, wa yurīdu;aṭ ṭā gụ ti wa qad u mi rū ay yak fu rụ bih , wa yu rī du
4;60;4;الشَّيْطٰنُ اَنْ يُّضِلَّهُمْ ضَلٰلًا ۢ بَعِيْدًا;dusy-syaiṭānu ay yuḍillahum ḍalālam ba'īd;ī dusy syai ṭā nu ay yu ḍil la hum ḍa lā lam ba 'ī d
4;61;1;وَاِذَا قِيْلَ لَهُمْ تَعَالَوْا اِلٰى مَآ اَنْزَلَ اللّٰهُ وَاِلَى;wa iżā qīla lahum ta'ālau ilā mā anzalallāhu wa i;wa i żā qī la la hum ta 'ā lau i lā mā an za lall llā hu w
4;61;2;الرَّسُوْلِ رَاَيْتَ الْمُنٰفِقِيْنَ يَصُدُّوْنَ عَنْكَ صُدُوْدًاۚ;ar-rasụli ra`aital-munāfiqīna yaṣuddụna 'angka ṣudụd;lar ra sụ li ra `ai tal mu nā fi qī na ya ṣud dụ na 'ang ka ṣu dụ d
4;62;1;فَكَيْفَ اِذَآ اَصَابَتْهُمْ مُّصِيْبَةٌ ۢبِمَا قَدَّمَتْ اَيْدِيْهِمْ ثُمَّ جَاۤءُوْكَ;fa kaifa iżā aṣābat-hum muṣībatum bimā qaddamat aidīhim ṡumma jā`ụ;fa kai fa i żā a ṣā bat hum mu ṣī ba tum bi mā qad da mat ai dī him ṡum ma jā `ụ
4;62;2;يَحْلِفُوْنَ بِاللّٰهِ ۖاِنْ اَرَدْنَآ اِلَّآ اِحْسَانًا وَّتَوْفِيْقًا; yaḥlifụna billāhi in aradnā illā iḥsānaw wa taufīq;a yaḥ li fụ na bil lā hi in a rad nā il lā iḥ sā naw wa tau fī q
4;63;1;اُولٰۤىِٕكَ الَّذِيْنَ يَعْلَمُ اللّٰهُ مَا فِيْ قُلُوْبِهِمْ فَاَعْرِضْ;ulā`ikallażīna ya'lamullāhu mā fī qulụbihim fa a'riḍ;l llā hu mā fī qu lụ bi him fa a' riḍ 'an hum wa 'iẓ hum wa qul la
4;63;2;عَنْهُمْ وَعِظْهُمْ وَقُلْ لَّهُمْ فِيْٓ اَنْفُسِهِمْ قَوْلًا ۢ بَلِيْغًا;'an-hum wa'iẓ-hum wa qul lahum fī anfusihim qaulam balī;ḍ 'an hum wa 'iẓ hum wa qul la hum fī an fu si him qau lam ba lī
4;64;1;وَمَآ اَرْسَلْنَا مِنْ رَّسُوْلٍ اِلَّا لِيُطَاعَ بِاِذْنِ اللّٰهِ ۗوَلَوْ;wa mā arsalnā mir rasụlin illā liyuṭā'a bi`iżnillāh, wal;wa mā ar sal nā mir ra sụ lin il lā li yu ṭā 'a bi `iż nil lāh , wa l
4;64;2;اَنَّهُمْ اِذْ ظَّلَمُوْٓا اَنْفُسَهُمْ جَاۤءُوْكَ فَاسْتَغْفَرُوا اللّٰهَ;annahum iż ẓalamū anfusahum jā`ụka fastagfarullāha;u an na hum iż ẓa la mū an fu sa hum jā `ụ ka fas tag fa rull llā
4;64;3;وَاسْتَغْفَرَ لَهُمُ الرَّسُوْلُ لَوَجَدُوا اللّٰهَ تَوَّابًا رَّحِيْمًا;a wastagfara lahumur-rasụlu lawajadullāha tawwābar raḥīm;ha was tag fa ra la hu mur ra sụ lu la wa ja dull llā ha taw wā bar ra ḥ
4;65;1;فَلَا وَرَبِّكَ لَا يُؤْمِنُوْنَ حَتّٰى يُحَكِّمُوْكَ فِيْمَا شَجَرَ بَيْنَهُمْ ثُمَّ;fa lā wa rabbika lā yu`minụna ḥattā yuḥakkimụka fīmā syajara bainahum ṡum;fa lā wa rab bi ka lā yu` mi nụ na ḥat tā yu ḥak ki mụ ka fī mā sya ja ra bai na hum ṡum
4;65;2;لَا يَجِدُوْا فِيْٓ اَنْفُسِهِمْ حَرَجًا مِّمَّا قَضَيْتَ وَيُسَلِّمُوْا تَسْلِيْمًا; lā yajidụ fī anfusihim ḥarajam mimmā qaḍaita wa yusallimụ taslīm;a lā ya ji dụ fī an fu si him ḥa ra jam mim mā qa ḍai ta wa yu sal li mụ tas lī m
4;66;1;وَلَوْ اَنَّا كَتَبْنَا عَلَيْهِمْ اَنِ اقْتُلُوْٓا اَنْفُسَكُمْ اَوِ اخْرُجُوْا;walau annā katabnā 'alaihim aniqtulū anfusakum awikhrujụ mi;wa lau an nā ka tab nā 'a lai him a niq tu lū an fu sa kum a wikh ru jụ mi
4;66;2;مِنْ دِيَارِكُمْ مَّا فَعَلُوْهُ اِلَّا قَلِيْلٌ مِّنْهُمْ ۗوَلَوْ اَنَّهُمْ فَعَلُوْا;min diyārikum mā fa'alụhu illā qalīlum min-hum, walau annahum fa'a;ụ min di yā ri kum mā fa 'a lụ hu il lā qa lī lum min hum , wa lau an na hum fa 'a
4;66;3;مَا يُوْعَظُوْنَ بِهٖ لَكَانَ خَيْرًا لَّهُمْ وَاَشَدَّ تَثْبِيْتًاۙ;ụ mā yụ'aẓụna bihī lakāna khairal lahum wa asyadda taṡbīt;lụ mā yụ 'a ẓụ na bi hī la kā na khai ral la hum wa a syad da taṡ bī t
4;67;1;وَّاِذًا لَّاٰ تَيْنٰهُمْ مِّنْ لَّدُنَّآ اَجْرًا عَظِيْمًاۙ;wa iżal la`ātaināhum mil ladunnā ajran 'aẓīmā;wa i żal la `ā tai nā hum mil la dun nā aj ran 'a ẓī mā
4;68;1;وَّلَهَدَيْنٰهُمْ صِرَاطًا مُّسْتَقِيْمًا;wa lahadaināhum ṣirāṭam mustaqīmā;wa la ha dai nā hum ṣi rā ṭam mus ta qī mā
4;69;1;وَمَنْ يُّطِعِ اللّٰهَ وَالرَّسُوْلَ فَاُولٰۤىِٕكَ مَعَ الَّذِيْنَ;may yuṭi'illāha war-rasụla fa ulā`ika ma'allażīna;a may yu ṭi 'il lā ha war ra sụ la fa u lā `i ka ma 'al la żī na
4;69;2;اَنْعَمَ اللّٰهُ عَلَيْهِمْ مِّنَ النَّبِيّٖنَ وَالصِّدِّيْقِيْنَ;an'amallāhu 'alaihim minan-nabiyyīna waṣ-ṣiddīqī;l llā hu 'a lai him mi nan na biy yī na waṣ ṣid dī qī na wasy
4;69;3;وَالشُّهَدَاۤءِ وَالصّٰلِحِيْنَ ۚ وَحَسُنَ اُولٰۤىِٕكَ رَفِيْقًا;wasy-syuhadā`i waṣ-ṣāliḥīn, wa ḥasuna ulā`ika rafīq;a wasy syu ha dā `i waṣ ṣā li ḥīn , wa ḥa su na u lā `i ka ra fī q
4;70;1;ذٰلِكَ الْفَضْلُ مِنَ اللّٰهِ ۗوَكَفٰى بِاللّٰهِ عَلِيْمًا ࣖ;żālikal-faḍlu minallāh, wa kafā billāhi 'alīmā;l llāh , wa ka fā bil lā hi 'a lī mā
4;71;1;يٰٓاَيُّهَا الَّذِيْنَ اٰمَنُوْا خُذُوْا حِذْرَكُمْ فَانْفِرُوْا ثُبَاتٍ اَوِ انْفِرُوْا جَمِيْعًا;yā ayyuhallażīna āmanụ khużụ ḥiżrakum fanfirụ ṡubātin awinfirụ jamī'ā;yā ay yu hal la żī na ā ma nụ khu żụ ḥiż ra kum fan fi rụ ṡu bā tin a win fi rụ ja mī 'ā
4;72;1;وَاِنَّ مِنْكُمْ لَمَنْ لَّيُبَطِّئَنَّۚ فَاِنْ اَصَابَتْكُمْ مُّصِيْبَةٌ;inna mingkum lamal layubaṭṭi`ann, fa in aṣābatkum muṣībatun;a in na ming kum la mal la yu baṭ ṭi `ann , fa in a ṣā bat kum mu ṣī ba tun
4;72;2;قَالَ قَدْ اَنْعَمَ اللّٰهُ عَلَيَّ اِذْ لَمْ اَكُنْ مَّعَهُمْ شَهِيْدًا;g qāla qad an'amallāhu 'alayya iż lam akum ma'ahum syahīd;l llā hu 'a lay ya iż lam a kum ma 'a hum sya hī dā
4;73;1;وَلَىِٕنْ اَصَابَكُمْ فَضْلٌ مِّنَ اللّٰهِ لَيَقُوْلَنَّ كَاَنْ لَّمْ تَكُنْۢ بَيْنَكُمْ;wa la`in aṣābakum faḍlum minallāhi layaqụlanna ka`al lam takum bainaku;l llā hi la ya qụ lan na ka `al lam ta kum bai na kum wa bai na hụ ma wad da tuy yā lai
4;73;2;وَبَيْنَهٗ مَوَدَّةٌ يّٰلَيْتَنِيْ كُنْتُ مَعَهُمْ فَاَفُوْزَ فَوْزًا عَظِيْمًا;wa bainahụ mawaddatuy yā laitanī kuntu ma'ahum fa afụza fauzan 'aẓī;m wa bai na hụ ma wad da tuy yā lai ta nī kun tu ma 'a hum fa a fụ za fau zan 'a ẓī
4;74;1;۞ فَلْيُقَاتِلْ فِيْ سَبِيْلِ اللّٰهِ الَّذِيْنَ يَشْرُوْنَ الْحَيٰوةَ;falyuqātil fī sabīlillāhillażīna yasyrụnal-ḥayātad;fal yu qā til fī sa bī lil lā hil la żī na yasy rụ nal ḥa yā tad
4;74;2;الدُّنْيَا بِالْاٰخِرَةِ ۗ وَمَنْ يُّقَاتِلْ فِيْ سَبِيْلِ اللّٰهِ;d-dun-yā bil-ākhirah, wa may yuqātil fī sabīlill;ad dun yā bil ā khi rah , wa may yu qā til fī sa bī lil l
4;74;3;فَيُقْتَلْ اَوْ يَغْلِبْ فَسَوْفَ نُؤْتِيْهِ اَجْرًا عَظِيْمًا;fa yuqtal au yaglib fa saufa nu`tīhi ajran 'aẓīm;i fa yuq tal au yag lib fa sau fa nu` tī hi aj ran 'a ẓī m
4;75;1;وَمَا لَكُمْ لَا تُقَاتِلُوْنَ فِيْ سَبِيْلِ اللّٰهِ وَالْمُسْتَضْعَفِيْنَ;wa mā lakum lā tuqātilụna fī sabīlillāhi wal-mustaḍ'afī;wa mā la kum lā tu qā ti lụ na fī sa bī lil lā hi wal mus taḍ 'a fī
4;75;2;مِنَ الرِّجَالِ وَالنِّسَاۤءِ وَالْوِلْدَانِ الَّذِيْنَ يَقُوْلُوْنَ رَبَّنَآ;minar-rijāli wan-nisā`i wal-wildānillażīna yaqụlụna rabbanā;a mi nar ri jā li wan ni sā `i wal wil dā nil la żī na ya qụ lụ na rab ba nā
4;75;3;اَخْرِجْنَا مِنْ هٰذِهِ الْقَرْيَةِ الظَّالِمِ اَهْلُهَاۚ وَاجْعَلْ لَّنَا;akhrijnā min hāżihil-qaryatiẓ-ẓālimi ahluhā, waj'al la;ā akh rij nā min hā żi hil qar ya tiẓ ẓā li mi ah lu hā , waj 'al la
4;75;4;مِنْ لَّدُنْكَ وَلِيًّاۚ وَاجْعَلْ لَّنَا مِنْ لَّدُنْكَ نَصِيْرًا;mil ladungka waliyyā, waj'al lanā mil ladungka naṣī;ā mil la dung ka wa liy yā , waj 'al la nā mil la dung ka na ṣī
4;76;1;اَلَّذِيْنَ اٰمَنُوْا يُقَاتِلُوْنَ فِيْ سَبِيْلِ اللّٰهِ ۚ وَالَّذِيْنَ;allażīna āmanụ yuqātilụna fī sabīlillāh, wallażīn;al la żī na ā ma nụ yu qā ti lụ na fī sa bī lil lāh , wal la żī n
4;76;2;كَفَرُوْا يُقَاتِلُوْنَ فِيْ سَبِيْلِ الطَّاغُوْتِ فَقَاتِلُوْٓا اَوْلِيَاۤءَ;kafarụ yuqātilụna fī sabīliṭ-ṭāgụti fa qātilū auliyā`a;a ka fa rụ yu qā ti lụ na fī sa bī liṭ ṭā gụ ti fa qā ti lū au li yā `a
4;76;3;الشَّيْطٰنِ ۚ اِنَّ كَيْدَ الشَّيْطٰنِ كَانَ ضَعِيْفًا ۚ ࣖ;ā`asy-syaiṭān, inna kaidasy-syaiṭāni kāna ḍa'īf;yā `asy syai ṭān , in na kai dasy syai ṭā ni kā na ḍa 'ī f
4;77;1;اَلَمْ تَرَ اِلَى الَّذِيْنَ قِيْلَ لَهُمْ كُفُّوْٓا اَيْدِيَكُمْ وَاَقِيْمُوا الصَّلٰوةَ وَاٰتُوا الزَّكٰوةَۚ;a lam tara ilallażīna qīla lahum kuffū aidiyakum wa aqīmuṣ-ṣalāta wa ātuz-zakāh, ;a lam ta ra i lal la żī na qī la la hum kuf fū ai di ya kum wa a qī muṣ ṣa lā ta wa ā tuz za kāh ,
