id;aya;sura;transcript;created_at;updated_at
383;89;3;"il lal la żī na tā bụ mim ba' di żā li ka wa aṣ la ḥụ , fa in nall llā ha ga fụ rur ra ḥīm";;
384;90;3;"in nal la żī na ka fa rụ ba' da ī mā ni him ṡum maz dā dụ kuf ral lan tuq ba la tau ba tu hum , wa u lā `i ka hu muḍ ḍāl lụn";;
385;91;3;"in nal la żī na ka fa rụ wa mā tụ wa hum kuf fā run fa lay yuq ba la min a ḥa di him mil `ul ar ḍi ża ha baw wa la wif ta dā bih , u lā `i ka la hum 'a żā bun a lī muw wa mā la hum min nā ṣi rīn";;
386;92;3;"lan ta nā lul bir ra ḥat tā tun fi qụ mim mā tu ḥib bụn , wa mā tun fi qụ min syai `in fa in nall llā ha bi hī 'a līm";;
387;93;3;"kul luṭ ṭa 'ā mi kā na ḥil lal li ba nī is rā `ī la il lā mā ḥar ra ma is rā `ī lu 'a lā naf si hī ming qab li an tu naz za lat tau rāh , qul fa` tụ bit tau rā ti fat lụ hā ing kun tum ṣā di qīn";;
388;94;3;fa ma nif ta rā 'a lall llā hil ka żi ba mim ba' di żā li ka fa u lā `i ka hu muẓ ẓā li mụn;;
389;95;3;"qul ṣa da qall llāh , fat ta bi 'ụ mil la ta ib rā hī ma ḥa nī fā , wa mā kā na mi nal musy ri kīn";;
390;96;3;in na aw wa la bai tiw wu ḍi 'a lin nā si lal la żī bi bak ka ta mu bā ra kaw wa hu dal lil 'ā la mīn;;
391;97;3;"fī hi ā yā tum bay yi nā tum ma qā mu ib rā hīm , wa man da kha la hụ kā na ā mi nā , wa lil lā hi 'a lan nā si ḥij jul bai ti ma nis ta ṭā 'a i lai hi sa bī lā , wa mang ka fa ra fa in nall llā ha ga niy yun 'a nil 'ā la mīn";;
392;98;3;qul yā ah lal ki tā bi li ma tak fu rụ na bi `ā yā til lā hi wall llā hu sya hī dun 'a lā mā ta' ma lụn;;
393;99;3;"qul yā ah lal ki tā bi li ma ta ṣud dụ na 'an sa bī lil lā hi man ā ma na tab gụ na hā 'i wa jaw wa an tum syu ha dā` , wa mall llā hu bi gā fi lin 'am mā ta' ma lụn";;
394;100;3;yā ay yu hal la żī na ā ma nū in tu ṭī 'ụ fa rī qam mi nal la żī na ụ tul ki tā ba ya rud dụ kum ba' da ī mā ni kum kā fi rīn;;
395;101;3;"wa kai fa tak fu rụ na wa an tum tut lā 'a lai kum ā yā tull llā hi wa fī kum ra sụ luh , wa may ya' ta ṣim bil lā hi fa qad hu di ya i lā ṣi rā ṭim mus ta qīm";;
396;102;3;yā ay yu hal la żī na ā ma nut ta qull llā ha ḥaq qa tu qā ti hī wa lā ta mụ tun na il lā wa an tum mus li mụn;;
397;103;3;"wa' ta ṣi mụ bi ḥab lil lā hi ja mī 'aw wa lā ta far ra qụ waż ku rụ ni' ma tall llā hi 'a lai kum iż kun tum a' dā `an fa al la fa bai na qu lụ bi kum fa aṣ baḥ tum bi ni' ma ti hī ikh wā nā , wa kun tum 'a lā sya fā ḥuf ra tim mi nan nā ri fa ang qa ża kum min hā , ka żā li ka yu bay yi null llā hu la kum ā yā ti hī la 'al la kum tah ta dụn";;
398;104;3;"wal ta kum ming kum um ma tuy yad 'ụ na i lal khai ri wa ya` mu rụ na bil ma' rụ fi wa yan hau na 'a nil mung kar , wa u lā `i ka hu mul muf li ḥụn";;
399;105;3;"wa lā ta kụ nụ kal la żī na ta far ra qụ wakh ta la fụ mim ba' di mā jā `a hu mul bay yi nāt , wa u lā `i ka la hum 'a żā bun 'a ẓīm";;
400;106;3;"yau ma tab yaḍ ḍu wu jụ huw wa tas wad du wu jụh , fa am mal la żī nas wad dat wu jụ hu hum , a ka far tum ba' da ī mā ni kum fa żụ qul 'a żā ba bi mā kun tum tak fu rụn";;
401;107;3;"wa am mal la żī nab yaḍ ḍat wu jụ hu hum fa fī raḥ ma til lāh , hum fī hā khā li dụn";;
402;108;3;"til ka ā yā tull llā hi nat lụ hā 'a lai ka bil ḥaqq , wa mall llā hu yu rī du ẓul mal lil 'ā la mīn";;
403;109;3;"wa lil lā hi mā fis sa mā wā ti wa mā fil arḍ , wa i lall llā hi tur ja 'ul u mụr";;
404;110;3;"kun tum khai ra um ma tin ukh ri jat lin nā si ta` mu rụ na bil ma' rụ fi wa tan hau na 'a nil mung ka ri wa tu` mi nụ na bil lāh , wa lau ā ma na ah lul ki tā bi la kā na khai ral la hum , min hu mul mu` mi nụ na wa ak ṡa ru hu mul fā si qụn";;
405;111;3;"lay ya ḍur rụ kum il lā a żā , wa iy yu qā ti lụ kum yu wal lụ ku mul ad bār , ṡum ma lā yun ṣa rụn";;
406;112;3;"ḍu ri bat 'a lai hi muż żil la tu ai na mā ṡu qi fū il lā bi ḥab lim mi nall llā hi wa ḥab lim mi nan nā si wa bā `ụ bi ga ḍa bim mi nall llā hi wa ḍu ri bat 'a lai hi mul mas ka nah , żā li ka bi `an na hum kā nụ yak fu rụ na bi `ā yā til lā hi wa yaq tu lụ nal am bi yā `a bi gai ri ḥaqq , żā li ka bi mā 'a ṣaw wa kā nụ ya' ta dụn";;
407;113;3;"lai sụ sa wā `ā , min ah lil ki tā bi um ma tung qā `i ma tuy yat lụ na ā yā til lā hi ā nā `al lai li wa hum yas ju dụn";;
408;114;3;"yu` mi nụ na bil lā hi wal yau mil ā khi ri wa ya` mu rụ na bil ma' rụ fi wa yan hau na 'a nil mung ka ri wa yu sā ri 'ụ na fil khai rāt , wa u lā `i ka mi naṣ ṣā li ḥīn";;
409;115;3;"wa mā yaf 'a lụ min khai rin fa lay yuk fa rụh , wall llā hu 'a lī mum bil mut ta qīn";;
410;116;3;"in nal la żī na ka fa rụ lan tug ni ya 'an hum am wā lu hum wa lā au lā du hum mi nall llā hi syai `ā , wa u lā `i ka aṣ ḥā bun nār , hum fī hā khā li dụn";;
411;117;3;"ma ṡa lu mā yun fi qụ na fī hā żi hil ḥa yā tid dun yā ka ma ṡa li rī ḥin fī hā ṣir run a ṣā bat ḥar ṡa qau min ẓa la mū an fu sa hum fa ah la kat h , wa mā ẓa la ma hu mull llā hu wa lā kin an fu sa hum yaẓ li mụn";;
412;118;3;"yā ay yu hal la żī na ā ma nụ lā tat ta khi żụ bi ṭā na tam min dụ ni kum lā ya` lụ na kum kha bā lā , wad dụ mā 'a nit tum , qad ba da til bag ḍā `u min af wā hi him wa mā tukh fī ṣu dụ ru hum ak bar , qad bay yan nā la ku mul ā yā ti ing kun tum ta' qi lụn";;
413;119;3;"hā `an tum u lā `i tu ḥib bụ na hum wa lā yu ḥib bụ na kum wa tu` mi nụ na bil ki tā bi kul lih , wa i żā la qụ kum qā lū ā man nā wa i żā kha lau 'aḍ ḍụ 'a lai ku mul a nā mi la mi nal gaīẓ , qul mụ tụ bi gai ẓi kum , in nall llā ha 'a lī mum bi żā tiṣ ṣu dụr";;
414;120;3;"in tam sas kum ḥa sa na tun ta su` hum wa in tu ṣib kum say yi `a tuy yaf ra ḥụ bi hā , wa in taṣ bi rụ wa tat ta qụ lā ya ḍur ru kum kai du hum syai `ā , in nall llā ha bi mā ya' ma lụ na mu ḥīṭ";;
415;121;3;"wa iż ga dau ta min ah li ka tu baw wi `ul mu` mi nī na ma qā 'i da lil qi tāl , wall llā hu sa mī 'un 'a līm";;
416;122;3;"iż ham maṭ ṭā `i fa tā ni ming kum an taf sya lā wall llā hu wa liy yu hu mā , wa 'a lall llā hi fal ya ta wak ka lil mu` mi nụn";;
417;123;3;"wa la qad na ṣa ra ku mull llā hu bi bad riw wa an tum a żil lah , fat ta qull llā ha la 'al la kum tasy ku rụn";;
418;124;3;iż ta qụ lu lil mu` mi nī na a lay yak fi ya kum ay yu mid da kum rab bu kum bi ṡa lā ṡa ti ā lā fim mi nal ma lā `i ka ti mun za līn;;
419;125;3;ba lā in taṣ bi rụ wa tat ta qụ wa ya` tụ kum min fau ri him hā żā yum did kum rab bu kum bi kham sa ti ā lā fim mi nal ma lā `i ka ti mu saw wi mīn;;
420;126;3;"wa mā ja 'a la hull llā hu il lā busy rā la kum wa li taṭ ma `in na qu lụ bu kum bih , wa man naṣ ru il lā min 'in dil lā hil 'a zī zil ḥa kīm";;
421;127;3;li yaq ṭa 'a ṭa ra fam mi nal la żī na ka fa rū au yak bi ta hum fa yang qa li bụ khā `i bīn;;
422;128;3;lai sa la ka mi nal am ri syai `un au ya tụ ba 'a lai him au yu 'aż żi ba hum fa in na hum ẓā li mụn;;
423;129;3;"wa lil lā hi mā fis sa mā wā ti wa mā fil arḍ , yag fi ru li may ya syā `u wa yu 'aż żi bu may ya syā` , wall llā hu ga fụ rur ra ḥīm";;
424;130;3;yā ay yu hal la żī na ā ma nụ lā ta` ku lur ri bā aḍ 'ā fam mu ḍā 'a fa taw wat ta qull llā ha la 'al la kum tuf li ḥụn;;
425;131;3;wat ta qun nā ral la tī u 'id dat lil kā fi rīn;;
426;132;3;wa a ṭī 'ull llā ha war ra sụ la la 'al la kum tur ḥa mụn;;
427;133;3;wa sā ri 'ū i lā mag fi ra tim mir rab bi kum wa jan na tin 'ar ḍu has sa mā wā tu wal ar ḍu u 'id dat lil mut ta qīn;;
428;134;3;"al la żī na yun fi qụ na fis sar rā `i waḍ ḍar rā `i wal kā ẓi mī nal gai ẓa wal 'ā fī na 'a nin nās , wall llā hu yu ḥib bul muḥ si nīn";;
429;135;3;"wal la żī na i żā fa 'a lụ fā ḥi sya tan au ẓa la mū an fu sa hum ża ka rull llā ha fas tag fa rụ li żu nụ bi him , wa may yag fi ruż żu nụ ba il lall llāh , wa lam yu ṣir rụ 'a lā mā fa 'a lụ wa hum ya' la mụn";;
430;136;3;"u lā `i ka ja zā `u hum mag fi ra tum mir rab bi him wa jan nā tun taj rī min taḥ ti hal an hā ru khā li dī na fī hā , wa ni' ma aj rul 'ā mi līn";;
431;137;3;qad kha lat ming qab li kum su na nun fa sī rụ fil ar ḍi fan ẓu rụ kai fa kā na 'ā qi ba tul mu każ żi bīn;;
432;138;3;hā żā ba yā nul lin nā si wa hu daw wa mau 'i ẓa tul lil mut ta qīn;;
433;139;3;wa lā ta hi nụ wa lā taḥ za nụ wa an tu mul a' lau na ing kun tum mu` mi nīn;;
434;140;3;"iy yam sas kum qar ḥun fa qad mas sal qau ma qar ḥum miṡ luh , wa til kal ay yā mu nu dā wi lu hā bai nan nās , wa li ya' la mall llā hul la żī na ā ma nụ wa yat ta khi ża ming kum syu ha dā` , wall llā hu lā yu ḥib buẓ ẓā li mīn";;
435;141;3;wa li yu maḥ ḥi ṣall llā hul la żī na ā ma nụ wa yam ḥa qal kā fi rīn;;
436;142;3;am ḥa sib tum an tad khu lul jan na ta wa lam mā ya' la mil lā hul la żī na jā ha dụ ming kum wa ya' la maṣ ṣā bi rīn;;
437;143;3;wa la qad kun tum ta man nau nal mau ta ming qab li an tal qau hu fa qad ra `ai tu mụ hu wa an tum tan ẓu rụn;;
438;144;3;"wa mā mu ḥam ma dun il lā ra sụl , qad kha lat ming qab li hir ru sul , a fa im mā ta au qu ti lang qa lab tum 'a lā a' qā bi kum , wa may yang qa lib 'a lā 'a qi bai hi fa lay ya ḍur rall llā ha syai `ā , wa sa yaj zil lā husy syā ki rīn";;
439;145;3;"wa mā kā na li naf sin an ta mụ ta il lā bi `iż nil lā hi ki tā bam mu `aj ja lā , wa may yu rid ṡa wā bad dun yā nu` ti hī min hā , wa may yu rid ṡa wā bal ā khi ra ti nu` ti hī min hā , wa sa naj zisy syā ki rīn";;
440;146;3;"wa ka `ay yim min na biy ying qā ta la ma 'a hụ rib biy yụ na ka ṡīr , fa mā wa ha nụ li mā a ṣā ba hum fī sa bī lil lā hi wa mā ḍa 'u fụ wa mas ta kā nụ , wall llā hu yu ḥib buṣ ṣā bi rīn";;
441;147;3;wa mā kā na qau la hum il lā ang qā lụ rab ba nag fir la nā żu nụ ba nā wa is rā fa nā fī am ri nā wa ṡab bit aq dā ma nā wan ṣur nā 'a lal qau mil kā fi rīn;;
442;148;3;"fa ā tā hu mull llā hu ṡa wā bad dun yā wa ḥus na ṡa wā bil ā khi rah , wall llā hu yu ḥib bul muḥ si nīn";;
443;149;3;yā ay yu hal la żī na ā ma nū in tu ṭī 'ul la żī na ka fa rụ ya rud dụ kum 'a lā a' qā bi kum fa tang qa li bụ khā si rīn;;
444;150;3;"ba lil lā hu mau lā kum , wa hu wa khai run nā ṣi rīn";;
445;151;3;"sa nul qī fī qu lụ bil la żī na ka fa rur ru' ba bi mā asy ra kụ bil lā hi mā lam yu naz zil bi hī sul ṭā nā , wa ma` wā hu mun nār , wa bi` sa maṡ waẓ ẓā li mīn";;
446;152;3;"wa la qad ṣa da qa ku mull llā hu wa' da hū iż ta ḥus sụ na hum bi `iż nih , ḥat tā i żā fa syil tum wa ta nā za' tum fil am ri wa 'a ṣai tum mim ba' di mā a rā kum mā tu ḥib bụn , ming kum may yu rī dud dun yā wa ming kum may yu rī dul ā khi rah , ṡum ma ṣa ra fa kum 'an hum li yab ta li ya kum , wa la qad 'a fā 'ang kum , wall llā hu żụ faḍ lin 'a lal mu` mi nīn";;
447;153;3;"iż tuṣ 'i dụ na wa lā tal wụ na 'a lā a ḥa diw war ra sụ lu yad 'ụ kum fī ukh rā kum fa a ṡā ba kum gam mam bi gam mil li kai lā taḥ za nụ 'a lā mā fā ta kum wa lā mā a ṣā ba kum , wall llā hu kha bī rum bi mā ta' ma lụn";;
448;154;3;"ṡum ma an za la 'a lai kum mim ba' dil gam mi a ma na tan nu 'ā say yag syā ṭā `i fa tam ming kum wa ṭā `i fa tung qad a ham mat hum an fu su hum ya ẓun nụ na bil lā hi gai ral ḥaq qi ẓan nal jā hi liy yah , ya qụ lụ na hal la nā mi nal am ri min syaī` , qul in nal am ra kul la hụ lil lāh , yukh fụ na fī an fu si him mā lā yub dụ na lak , ya qụ lụ na lau kā na la nā mi nal am ri syai `um mā qu til nā hā hu nā , qul lau kun tum fī bu yụ ti kum la ba ra zal la żī na ku ti ba 'a lai hi mul qat lu i lā ma ḍā ji 'i him , wa li yab ta li yall llā hu mā fī ṣu dụ ri kum wa li yu maḥ ḥi ṣa mā fī qu lụ bi kum , wall llā hu 'a lī mum bi żā tiṣ ṣu dụr";;
449;155;3;"in nal la żī na ta wal lau ming kum yau mal ta qal jam 'ā ni in na mas ta zal la hu musy syai ṭā nu bi ba' ḍi mā ka sa bụ , wa la qad 'a fall llā hu 'an hum , in nall llā ha ga fụ run ḥa līm";;
450;156;3;"yā ay yu hal la żī na ā ma nụ lā ta kụ nụ kal la żī na ka fa rụ wa qā lụ li `ikh wā ni him i żā ḍa ra bụ fil ar ḍi au kā nụ guz zal lau kā nụ 'in da nā mā mā tụ wa mā qu ti lụ , li yaj 'a lall llā hu żā li ka ḥas ra tan fī qu lụ bi him , wall llā hu yuḥ yī wa yu mīt , wall llā hu bi mā ta' ma lụ na ba ṣīr";;
451;157;3;wa la `ing qu til tum fī sa bī lil lā hi au mut tum la mag fi ra tum mi nall llā hi wa raḥ ma tun khai rum mim mā yaj ma 'ụn;;
452;158;3;wa la `im mut tum au qu til tum la `i lall llā hi tuḥ sya rụn;;
453;159;3;"fa bi mā raḥ ma tim mi nall llā hi lin ta la hum , wa lau kun ta faẓ ẓan ga lī ẓal qal bi lan faḍ ḍụ min ḥau li ka fa' fu 'an hum was tag fir la hum wa syā wir hum fil amr , fa i żā 'a zam ta fa ta wak kal 'a lall llāh , in nall llā ha yu ḥib bul mu ta wak ki līn";;
454;160;3;"iy yan ṣur ku mull llā hu fa lā gā li ba la kum , wa iy yakh żul kum fa man żal la żī yan ṣu ru kum mim ba' dih , wa 'a lall llā hi fal ya ta wak ka lil mu` mi nụn";;
455;161;3;"wa mā kā na li na biy yin ay ya gull , wa may yag lul ya` ti bi mā gal la yau mal qi yā mah , ṡum ma tu waf fā kul lu naf sim mā ka sa bat wa hum lā yuẓ la mụn";;
456;162;3;"a fa ma nit ta ba 'a riḍ wā nall llā hi ka mam bā `a bi sa kha ṭim mi nall llā hi wa ma` wā hu ja han nam , wa bi` sal ma ṣīr";;
457;163;3;"hum da ra jā tun 'in dall llāh , wall llā hu ba ṣī rum bi mā ya' ma lụn";;
458;164;3;"la qad man nall llā hu 'a lal mu` mi nī na iż ba 'a ṡa fī him ra sụ lam min an fu si him yat lụ 'a lai him ā yā ti hī wa yu zak kī him wa yu 'al li mu hu mul ki tā ba wal ḥik mah , wa ing kā nụ ming qab lu la fī ḍa lā lim mu bīn";;
459;165;3;"a wa lam mā a ṣā bat kum mu ṣī ba tung qad a ṣab tum miṡ lai hā qul tum an nā hā żā , qul hu wa min 'in di an fu si kum , in nall llā ha 'a lā kul li syai `ing qa dīr";;
460;166;3;wa mā a ṣā ba kum yau mal ta qal jam 'ā ni fa bi `iż nil lā hi wa li ya' la mal mu` mi nīn;;
461;167;3;"wa li ya' la mal la żī na nā fa qụ wa qī la la hum ta 'ā lau qā ti lụ fī sa bī lil lā hi a wid fa 'ụ , qā lụ lau na' la mu qi tā lal lat ta ba' nā kum , hum lil kuf ri yau ma `i żin aq ra bu min hum lil ī mān , ya qụ lụ na bi `af wā hi him mā lai sa fī qu lụ bi him , wall llā hu a' la mu bi mā yak tu mụn";;
462;168;3;"al la żī na qā lụ li `ikh wā ni him wa qa 'a dụ lau a ṭā 'ụ nā mā qu ti lụ , qul fad ra `ụ 'an an fu si ku mul mau ta ing kun tum ṣā di qīn";;
463;169;3;"wa lā taḥ sa ban nal la żī na qu ti lụ fī sa bī lil lā hi am wā tā , bal aḥ yā `un 'in da rab bi him yur za qụn";;
464;170;3;fa ri ḥī na bi mā ā tā hu mull llā hu min faḍ li hī wa yas tab syi rụ na bil la żī na lam yal ḥa qụ bi him min khal fi him al lā khau fun 'a lai him wa lā hum yaḥ za nụn;;2020-07-22 14:57:06
465;171;3;"yas tab syi rụ na bi ni' ma tim mi nall llā hi wa faḍl , wa an nall llā ha lā yu ḍī 'u aj ral mu` mi nīn";;
466;172;3;al la żī nas ta jā bụ lil lā hi war ra sụ li mim ba' di mā a ṣā ba hu mul qar ḥu lil la żī na aḥ sa nụ min hum wat ta qau aj run 'a ẓīm;;
467;173;3;al la żī na qā la la hu mun nā su in nan nā sa qad ja ma 'ụ la kum fakh syau hum fa zā da hum ī mā naw wa qā lụ ḥas bu nall llā hu wa ni' mal wa kīl;;
468;174;3;"fang qa la bụ bi ni' ma tim mi nall llā hi wa faḍ lil lam yam sas hum sū `uw wat ta ba 'ụ riḍ wā nall llāh , wall llā hu żụ faḍ lin 'a ẓīm";;
469;175;3;in na mā żā li ku musy syai ṭā nu yu khaw wi fu au li yā `a hụ fa lā ta khā fụ hum wa khā fụ ni ing kun tum mu` mi nīn;;
470;176;3;"wa lā yaḥ zung kal la żī na yu sā ri 'ụ na fil kufr , in na hum lay ya ḍur rull llā ha syai `ā , yu rī dull llā hu al lā yaj 'a la la hum ḥaẓ ẓan fil ā khi ra ti wa la hum 'a żā bun 'a ẓīm";;2020-07-22 14:57:06
471;177;3;"in nal la żī nasy ta ra wul kuf ra bil ī mā ni lay ya ḍur rull llā ha syai `ā , wa la hum 'a żā bun a līm";;
472;178;3;"wa lā yaḥ sa ban nal la żī na ka fa rū an na mā num lī la hum khai rul li `an fu si him , in na mā num lī la hum li yaz dā dū iṡ mā , wa la hum 'a żā bum mu hīn";;
473;179;3;"mā kā nall llā hu li ya ża ral mu` mi nī na 'a lā mā an tum 'a lai hi ḥat tā ya mī zal kha bī ṡa mi naṭ ṭay yib , wa mā kā nall llā hu li yuṭ li 'a kum 'a lal gai bi wa lā kin nall llā ha yaj ta bī mir ru su li hī may ya syā `u fa ā mi nụ bil lā hi wa ru su lih , wa in tu` mi nụ wa tat ta qụ fa la kum aj run 'a ẓīm";;
474;180;3;"wa lā yaḥ sa ban nal la żī na yab kha lụ na bi mā ā tā hu mull llā hu min faḍ li hī hu wa khai ral la hum , bal hu wa syar rul la hum , sa yu ṭaw wa qụ na mā ba khi lụ bi hī yau mal qi yā mah , wa lil lā hi mī rā ṡus sa mā wā ti wal arḍ , wall llā hu bi mā ta' ma lụ na kha bīr";;
475;181;3;"la qad sa mi 'all llā hu qau lal la żī na qā lū in nall llā ha fa qī ruw wa naḥ nu ag ni yā` , sa nak tu bu mā qā lụ wa qat la hu mul am bi yā `a bi gai ri ḥaq qiw wa na qụ lu żụ qụ 'a żā bal ḥa rīq";;
476;182;3;żā li ka bi mā qad da mat ai dī kum wa an nall llā ha lai sa bi ẓal lā mil lil 'a bīd;;2020-07-22 14:57:06
477;183;3;"al la żī na qā lū in nall llā ha 'a hi da i lai nā al lā nu` mi na li ra sụ lin ḥat tā ya` ti ya nā bi qur bā nin ta` ku lu hun nār , qul qad jā `a kum ru su lum ming qab lī bil bay yi nā ti wa bil la żī qul tum fa li ma qa tal tu mụ hum ing kun tum ṣā di qīn";;2020-07-22 14:57:06
478;184;3;fa ing każ ża bụ ka fa qad kuż żi ba ru su lum ming qab li ka jā `ụ bil bay yi nā ti waz zu bu ri wal ki tā bil mu nīr;;
479;185;3;"kul lu naf sin żā `i qa tul maụt , wa in na mā tu waf fau na u jụ ra kum yau mal qi yā mah , fa man zuḥ zi ḥa 'a nin nā ri wa ud khi lal jan na ta fa qad fāz , wa mal ḥa yā tud dun yā il lā ma tā 'ul gu rụr";;
480;186;3;"la tub la wun na fī am wā li kum wa an fu si kum , wa la tas ma 'un na mi nal la żī na ụ tul ki tā ba ming qab li kum wa mi nal la żī na asy ra kū a żang ka ṡī rā , wa in taṣ bi rụ wa tat ta qụ fa in na żā li ka min 'az mil u mụr";;
481;187;3;"wa iż a kha żall llā hu mī ṡā qal la żī na ụ tul ki tā ba la tu bay yi nun na hụ lin nā si wa lā tak tu mụ na hụ fa na ba żụ hu wa rā `a ẓu hụ ri him wasy ta rau bi hī ṡa ma nang qa lī lā , fa bi` sa mā yasy ta rụn";;
482;188;3;"lā taḥ sa ban nal la żī na yaf ra ḥụ na bi mā a taw wa yu ḥib bụ na ay yuḥ ma dụ bi mā lam yaf 'a lụ fa lā taḥ sa ban na hum bi ma fā za tim mi nal 'a żāb , wa la hum 'a żā bun a līm";;
483;189;3;"wa lil lā hi mul kus sa mā wā ti wal arḍ , wall llā hu 'a lā kul li syai `ing qa dīr";;
484;190;3;in na fī khal qis sa mā wā ti wal ar ḍi wakh ti lā fil lai li wan na hā ri la `ā yā til li `u lil al bāb;;
485;191;3;"al la żī na yaż ku rụ nall llā ha qi yā maw wa qu 'ụ daw wa 'a lā ju nụ bi him wa ya ta fak ka rụ na fī khal qis sa mā wā ti wal arḍ , rab ba nā mā kha laq ta hā żā bā ṭi lā , sub ḥā na ka fa qi nā 'a żā ban nār";;
486;192;3;"rab ba nā in na ka man tud khi lin nā ra fa qad akh zai tah , wa mā liẓ ẓā li mī na min an ṣār";;
487;193;3;rab ba nā in na nā sa mi' nā mu nā di yay yu nā dī lil ī mā ni an ā mi nụ bi rab bi kum fa ā man nā rab ba nā fag fir la nā żu nụ ba nā wa kaf fir 'an nā say yi `ā ti nā wa ta waf fa nā ma 'al ab rār;;
488;194;3;"rab ba nā wa ā ti nā mā wa 'at ta nā 'a lā ru su li ka wa lā tukh zi nā yau mal qi yā mah , in na ka lā tukh li ful mī 'ād";;
489;195;3;"fas ta jā ba la hum rab bu hum an nī lā u ḍī 'u 'a ma la 'ā mi lim ming kum min ża ka rin au un ṡā , ba' ḍu kum mim ba'ḍ , fal la żī na hā ja rụ wa ukh ri jụ min di yā ri him wa ụ żụ fī sa bī lī wa qā ta lụ wa qu ti lụ la `u kaf fi ran na 'an hum say yi `ā ti him wa la `ud khi lan na hum jan nā tin taj rī min taḥ ti hal an hār , ṡa wā bam min 'in dil lāh , wall llā hu 'in da hụ ḥus nuṡ ṡa wāb";;
490;196;3;lā ya gur ran na ka ta qal lu bul la żī na ka fa rụ fil bi lād;;
491;197;3;"ma tā 'ung qa līl , ṡum ma ma` wā hum ja han nam , wa bi` sal mi hād";;
492;198;3;"lā ki nil la żī nat ta qau rab ba hum la hum jan nā tun taj rī min taḥ ti hal an hā ru khā li dī na fī hā nu zu lam min 'in dil lāh , wa mā 'in dall llā hi khai rul lil ab rār";;
493;199;3;"wa in na min ah lil ki tā bi la may yu` mi nu bil lā hi wa mā un zi la i lai kum wa mā un zi la i lai him khā syi 'ī na lil lā hi lā yasy ta rụ na bi `ā yā til lā hi ṡa ma nang qa lī lā , u lā `i ka la hum aj ru hum 'in da rab bi him , in nall llā ha sa rī 'ul ḥi sāb";;
494;200;3;"yā ay yu hal la żī na ā ma nuṣ bi rụ wa ṣā bi rụ wa rā bi ṭụ , wat ta qull llā ha la 'al la kum tuf li ḥụn";;
495;1;4;"yā ay yu han nā sut ta qụ rab ba ku mul la żī kha la qa kum min naf siw wā ḥi da tiw wa kha la qa min hā zau ja hā wa baṡ ṡa min hu mā ri jā lang ka ṡī raw wa ni sā `ā , wat ta qull llā hal la żī ta sā `a lụ na bi hī wal ar ḥām , in nall llā ha kā na 'a lai kum ra qī bā";;
496;2;4;"wa ā tul ya tā mā am wā la hum wa lā ta ta bad da lul kha bī ṡa biṭ ṭay yi bi wa lā ta` ku lū am wā la hum i lā am wā li kum , in na hụ kā na ḥụ bang ka bī rā";;
497;3;4;"wa in khif tum al lā tuq si ṭụ fil ya tā mā fang ki ḥụ mā ṭā ba la kum mi nan ni sā `i maṡ nā wa ṡu lā ṡa wa ru bā' , fa in khif tum al lā ta' di lụ fa wā ḥi da tan au mā ma la kat ai mā nu kum , żā li ka ad nā al lā ta 'ụ lụ";;2020-07-22 14:57:06
498;4;4;"wa ā tun ni sā `a ṣa du qā ti hin na niḥ lah , fa in ṭib na la kum 'an syai `im min hu naf san fa ku lụ hu ha nī `am ma rī `ā";;
499;5;4;wa lā tu` tus su fa hā `a am wā la ku mul la tī ja 'a lall llā hu la kum qi yā maw war zu qụ hum fī hā wak sụ hum wa qụ lụ la hum qau lam ma' rụ fā;;
500;6;4;"wab ta lul ya tā mā ḥat tā i żā ba la gun ni kāḥ , fa in ā nas tum min hum rusy dan fad fa 'ū i lai him am wā la hum , wa lā ta` ku lụ hā is rā faw wa bi dā ran ay yak ba rụ , wa mang kā na ga niy yan fal yas ta' fif , wa mang kā na fa qī ran fal ya` kul bil ma' rụf , fa i żā da fa' tum i lai him am wā la hum fa asy hi dụ 'a lai him , wa ka fā bil lā hi ḥa sī bā";;
501;7;4;"lir ri jā li na ṣī bum mim mā ta ra kal wā li dā ni wal aq ra bụ na wa lin ni sā `i na ṣī bum mim mā ta ra kal wā li dā ni wal aq ra bụ na mim mā qal la min hu au ka ṡur , na ṣī bam maf rụ ḍā";;
502;8;4;wa i żā ḥa ḍa ral qis ma ta u lul qur bā wal ya tā mā wal ma sā kī nu far zu qụ hum min hu wa qụ lụ la hum qau lam ma' rụ fā;;
503;9;4;wal yakh syal la żī na lau ta ra kụ min khal fi him żur riy ya tan ḍi 'ā fan khā fụ 'a lai him fal yat ta qull llā ha wal ya qụ lụ qau lan sa dī dā;;
504;10;4;"in nal la żī na ya` ku lụ na am wā lal ya tā mā ẓul man in na mā ya` ku lụ na fī bu ṭụ ni him nā rā , wa sa yaṣ lau na sa 'ī rā";;
